URL,Name,Price,Reviews,Price_Segment,Est_Revenue
https://www.banggood.com/Ninkear-S14-Laptop-14-Inch-2_2K-Screen-AMD-Ryzen-5-7535HS-16GB-DDR5-1TB-SSD-1kg-Weight-60Wh-Battery-WIFI-6-Fingerprint-Unlocking-Backlit-Keyboard-Narrow-Bezel-Notebook-p-2039524.html?bid=87410,Ninkear S14 Laptop 14 Inch 2.2K Screen AMD Ryzen 5 7535HS 16GB DDR5 1TB SSD 1kg Weight 60Wh Battery WIFI 6 Fingerprint Unlocking Backlit Keyboard Narrow Bezel Notebook - Silver,479.97,13.0,Premium,6239.610000000001
https://www.banggood.com/Wanbo-Vali-1-Smart-Gimbal-Projector-200-Rotating-1080P-FHD-900-ANSI-Lumens-Android-TV-11-Auto-Focus-Keystone-Correction-Home-Cinema-Entertainment-Streaming-Player-p-2036721.html?bid=87080,[Netfilx Certified]Wanbo Vali 1 Smart Gimbal Projector 200° Rotating 1080P FHD 900 ANSI Lumens Android TV 11 Auto Focus Keystone Correction Home Cinema Entertainment Streaming Player - EU Plug,193.53,9.0,Premium,1741.77
https://www.banggood.com/Blitzwolf-V10-3-inch-LCD-Projector-120-Inch-Screen-Wireless-Cast-Screen-5G-WIFI-Dual-Bluetooth5_1-Electric-Focus-UPandDown-Keystone-Correction-Home-Theater-Outdoor-Movie-Lights-Outdoor-p-2023431.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=477576325077,"Blitzwolf V10 3"" LCD Projector 120-Inch Screen Wireless Cast Screen 5G-WIFI Dual Bluetooth5.1 Electric Focus UP&Down Keystone Correction Home Theater Outdoor Movie Lights Outdoor - US Plug Only Projector",54.18,28.0,Mid Range,1517.04
https://www.banggood.com/BlitzWolf-BW-CML2-Air-Monitor-Light-Bar-Touch-Control-Eye-Protection-Anti-Glare-300-1000Lux-Adjustable-Cool-or-Mix-or-Warm-Light-Color-Temperature-USB-e-Reading-Light-for-Home-Office-PC-Computer-p-1989949.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=0,BlitzWolf® BW-CML2 Air Monitor Light Bar Touch Control Eye Protection Anti-Glare 300-1000Lux Adjustable Cool/Mix/Warm Light Color Temperature USB e-Reading Light for Home Office PC Computer,9.28,442.0,Low Budget,4101.759999999999
https://www.banggood.com/AULA-F75-80-Keys-Tri-mode-Customized-Mechanical-Gaming-Keyboard-Hot-Swappable-RGB-BT-or-2_4G-or-Type-C-75-pencent-Layout-Wireless-Gaming-Keyboard-Gasket-Structure-p-2040415.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=62878326325805,AULA F75 80 Keys Tri-mode Customized Mechanical Gaming Keyboard Hot Swappable RGB BT/2.4G/Type-C 75% Layout Wireless Gaming Keyboard Gasket Structure - Blue Reaper Switch,46.44,2.0,Low Budget,92.88
https://www.banggood.com/Bakeey-PB-C7366-8-in-1-USB-C-Hub-Docking-Station-Adapter-With-4K-HDMI-HD-Display-or-87W-USB-C-PD3_0-Power-Delivery-or-USB-C-Data-Transmission-or-2-+-USB-3_0-or-RJ45-Ethernet-or-Memory-Card-Readers-p-1705441.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=0,Bakeey PB-C7366 8-in-1 USB-C Hub Docking Station Adapter With 4K HDMI HD Display / 87W USB-C PD3.0 Power Delivery / USB-C Data Transmission / 2 * USB 3.0 / RJ45 Ethernet / Memory Card Readers,8.51,873.0,Low Budget,7429.23
https://www.banggood.com/GY156SP-15_6inch-Dual-Screen-Portable-Gaming-Monitor-2560x1440-100-pencent-sRGB-HDR-IPS-Type-C-or-Mini-HD-or-3_5mm-AUX-Secondary-Display-Screen-with-Four-Speakers-Foldable-Monitors-for-Phone-Laptop-Game-Console-Office-p-2023436.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=6329519,GY156SP 15.6inch Dual Screen Portable Gaming Monitor 2560x1440 100% sRGB HDR IPS Type-C/Mini HD/3.5mm AUX Secondary Display Screen with Four Speakers Foldable Monitors for Phone Laptop Game Console Office - 1920*1080,166.44,0.0,Premium,0.0
https://www.banggood.com/Lenovo-ThinkPlus-TPCU301plus-Type-C-USB3_0-Flash-Drive-Dual-Metal-Port-360-Rotation-Heat-Resistance-OTG-A+-Chip-Fa-p-2031690.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=43653,Lenovo ThinkPlus TPCU301plus Type-C USB3.0 Flash Drive Dual Metal Port 360° Rotation Heat Resistance OTG A+ Chip Fa - 32GB,6.96,2.0,Low Budget,13.92
https://www.banggood.com/Netflix-Certified-BlitzWolf-BW-V10-Ultra-Android-Tv-13_0-Projector-4K-Supported-Built-in-Youtube-Hulu-500-ANSI-Lumens-Electric-Focus-and-Mental-Keystone-Correction-Portable-Outdoor-Projector-Beamer-p-2033836.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=6287830,[Netflix Certified] BlitzWolf BW-V10 Ultra Android Tv 13.0 Projector 4K Supported Built-in Youtube Hulu 500 ANSI Lumens Electric Focus & Mental Keystone Correction Portable Outdoor Projector Beamer - Black,89.03,6.0,Mid Range,534.1800000000001
"https://www.banggood.com/BlitzWolf-BW-CML6-RGB-Gaming-Monitor-Light-Bar-with-Wireless-Remote-Control,Dynamic-Pickup,Stepless-Dimming-or-Color-Temperature,Dual-Light-Source,Asymmetric-Optical-Design-Eye-Protection-Anti-Glare-for-Home-Office-PC-Computer-p-2030905.html?rmmds=ComputersFlashDeals&cur_warehouse=CN&ID=6287830","BlitzWolf® BW-CML6 RGB Gaming Monitor Light Bar with Wireless Remote Control, Dynamic Pickup, Stepless Dimming/Color Temperature, Dual Light Source, Asymmetric Optical Design Eye Protection Anti-Glare for Home Office PC Computer - Black",27.86,26.0,Low Budget,724.36
